Dégustation,Nom,Couleur,Région,Appellation,Millésime,Pays
39,Les Terrasses de l'Empire - Domaine Georges Vernay,Blanc,Rhône,Condrieu,2011,France
39,Les Grandes Places - Domaine Clusel-Roch,Rouge,Rhône,Côte-Rôtie,2011,France
39,La Turque - E. Guigal,Rouge,Rhône,Côte-Rôtie,2007,France
39,Château de Beaucastel,Rouge,Rhône,Châteauneuf-Du-Pape,2003,France
39,Sainte-Épine - Delas,Rouge,Rhône,Saint-Joseph,2013,France
40,"Chablis 1er Cru ""La Forest"" - Vincent Dauvissat",Blanc,Bourgogne,Chablis,2008,France
40,Champagne Belle Époque - Perrier-Jouët,Blanc effervescent,Champagne,Champagne,2008,France
40,Puligny-Montrachet 1er Cru Les Combettes - Domaine J.M. Boillot,Blanc,Bourgogne,Puligny-Montrachet,2002,France
40,Nouvelle Terre - Chardonnay - Daniel Mouty,Blanc,Bordeaux,Vin de France,2016,France
40,Egly-Ouriet - Brut Rosé Grand Cru,Rosé effervescent,Champagne,Champagne,N.M,France
40,Sancerre Charlouise - Vincent Pinard,Rouge,Loire,Sancerre,?,France
40,Chapelle-Chambertin Grand Cru - Domaine Trapet Père et Fils,Rouge,Bourgogne,Chapelle-Chambertin,1995,France
40,Sancerre La Moussière - Alphonse Mellot,Rouge,Loire,Sancerre,2009,France
40,Volnay 1er Cru Santenots du Milieu - Domaine des Comtes Lafon,Rouge,Bourgogne,Volnay,1999,France
40,Pinot noir Le Grand H - Albert Mann,Rouge,Alsace,Alsace,2007,France
40,P.N. 1328 - Ampelidae,Rouge,Loire,Vin de Pays de la Vienne,2005,France
41,Dézaley Grand Cru - Pierre-Luc Leyvraz,Blanc,Vaud,Dézaley Grand Cru,2017,Suisse
41,Champagne Brut Nature - Pinot Noir Zéro Dosage - Drappier,Blanc effervescent,Champagne,Champagne,N.M,France
41,Aile d'Argent - Château Mouton Rothschild,Blanc,Bordeaux,Bordeaux,2005,France
41,Château Pontet-Canet,Rouge,Bordeaux,Pauillac,2005,France
41,Hermitage La Chapelle - Paul Jaboulet Ainé,Rouge,Rhône,Hermitage,2005,France
41,Les Pyeux - Clos Rougeard,Rouge,Loire,Saumur-Champigny,2005,France
41,Château Léoville Poyferré,Rouge,Bordeaux,Saint-Julien,2005,France
41,Château de Rayne Vigneau,Blanc liquoreux,Bordeaux,Sauternes,2005,France
42,Auxey-Duresses - Pierre Taupenot,Blanc,Bourgogne,Auxey-Duresses,1994,France
42,Rémus - Domaine de la Taille aux Loups - Jacky Blot,Blanc,Loire,Montlouis-Sur-Loire,1999,France
42,Hermitage - Jean-Louis Chave,Blanc,Rhône,Hermitage,1995,France
42,Château Pape Clément,Rouge,Bordeaux,Pessac-Léognan,1995,France
42,Château Pontet-Canet,Rouge,Bordeaux,Pauillac,1990,France
42,Château Ducru Beaucaillou,Rouge,Bordeaux,Saint-Julien,1993,France
42,Sélection de Grains Nobles - Cuvée Sophie - Château des Rochettes,Blanc liquoreux,Loire,Coteaux du Layon,1998,France
43,L'Ancestrale - Domaine Vincent Carême,Blanc effervescent,Loire,Vouvray,2015,France
43,Méthode Ancestrale - Domaines des Terres Blanches - Céline et Benoît Blet,Blanc effervescent,Loire,Vin de France,2017,France
43,Les Monts Damnés - François Cotat,Blanc,Loire,Sancerre,2002,France
43,Les Rouliers - Richard Leroy,Blanc,Loire,Vin de France,2011,France
43,Brézé - Clos Rougeard,Blanc,Loire,Saumur,2003,France
43,Clos de la Coulée de Serrant,Blanc,Loire,Savennières-Coulée-De-Serrant,2001,France
43,La Charpentrie - Domaine du Collier,Rouge,Loire,Saumur,2012,France
